date_parsed,program_title,station,top3_nonconf_min,all_nonconf_min,news_pressure_uncorrected,news_pressure_corrected,conflict_any,conflict_total_min,n_stories
2005-02-07,ABC Evening News,ABC,7.666666666666666,26.0,7.666666666666666,8.846153846153845,1.0,2.5,17.0
2005-02-07,CBS Evening News,CBS,5.666666666666666,26.33333333333333,5.666666666666666,6.455696202531645,1.0,2.0,17.0
2005-02-08,ABC Evening News,ABC,2.8333333333333335,25.33333333333334,2.8333333333333335,3.355263157894736,1.0,2.6666666666666665,19.0
2005-02-08,CBS Evening News,CBS,1.1666666666666667,25.833333333333336,1.1666666666666667,1.3548387096774193,1.0,2.3333333333333335,19.0
2005-02-09,ABC Evening News,ABC,6.0,26.000000000000004,6.0,6.9230769230769225,1.0,2.5,18.0
2005-02-09,CBS Evening News,CBS,6.0,28.0,6.0,6.428571428571429,0.0,0.0,18.0
2005-02-10,ABC Evening News,ABC,4.166666666666667,28.333333333333332,4.166666666666667,4.411764705882353,1.0,0.3333333333333333,19.0
2005-02-10,CBS Evening News,CBS,3.833333333333333,28.333333333333332,3.833333333333333,4.0588235294117645,0.0,0.0,20.0
2005-02-11,ABC Evening News,ABC,4.0,28.333333333333332,4.0,4.235294117647059,0.0,0.0,17.0
2005-02-11,CBS Evening News,CBS,3.3333333333333335,27.83333333333334,3.3333333333333335,3.5928143712574845,0.0,0.0,19.0
2005-02-12,ABC Evening News,ABC,5.666666666666666,28.333333333333336,5.666666666666666,5.999999999999998,0.0,0.0,17.0
2005-02-12,CBS Evening News,CBS,5.0,27.5,5.0,5.454545454545454,1.0,0.3333333333333333,18.0
2005-02-13,ABC Evening News,ABC,5.166666666666666,21.333333333333332,5.166666666666666,7.265624999999999,0.0,0.0,10.0
2005-02-14,ABC Evening News,ABC,8.166666666666668,28.666666666666668,8.166666666666668,8.546511627906977,0.0,0.0,16.0
2005-02-14,CBS Evening News,CBS,5.333333333333334,28.166666666666668,5.333333333333334,5.680473372781066,0.0,0.0,20.0
2005-02-15,ABC Evening News,ABC,5.166666666666667,28.166666666666664,5.166666666666667,5.502958579881657,1.0,0.3333333333333333,17.0
2005-02-15,CBS Evening News,CBS,5.833333333333333,28.5,5.833333333333333,6.140350877192983,0.0,0.0,18.0
